Name, Class, Priority Rating, Effort Points, Gear Points
Floriselia, Priest, 0.67, 1336.63, 2000.00
Chobbin, Priest, 4.33, 11783.50, 2722.50
Zeno, Mage, 3.42, 11783.50, 3445.00
Moltar, Warrior, 0.92, 6788.50, 7418.75
Tynothy, Rogue, 3.10, 11783.50, 3806.25
Evilfox, Rogue, 4.54, 9083.50, 2000.00
Warning, Warlock, 1.68, 11783.50, 7000.00
Shartz, Druid, 3.39, 6788.50, 2000.00
Borderpatrol, Rogue, 0.00, 0.00, 2000.00
Bundaa, Warlock, 3.10, 11783.50, 3806.25
Arathena, Warrior, 2.02, 9083.50, 4500.00
Stille, Priest, 4.12, 8233.50, 2000.00
Josie, Priest, 2.67, 7610.00, 2850.00
Cheerful, Warrior, 0.00, 0.00, 2000.00
Chelmari, Mage, 1.41, 6788.50, 4799.69
Gnomajik, Mage, 3.39, 6788.50, 2000.00
Bellend, Druid, 0.58, 1600.00, 2750.00
Wilzea, Hunter, 3.93, 11783.50, 3000.00
Libbi, Paladin, 1.38, 8233.50, 5959.38
Florbydorbis, Rogue, 1.66, 9083.50, 5479.69
Topcat, Warrior, 3.39, 6788.50, 2000.00
Ceneda, Rogue, 0.59, 4088.50, 6967.19
Ryzeup, Warrior, 2.92, 6788.50, 2324.06
Ryze, Warrior, 0.00, 0.00, 2000.00
Steelpanther, Druid, 0.29, 722.50, 2451.56
Mandalynn, Rogue, 1.58, 4505.00, 2850.00
Caitylinn, Warlock, 3.08, 9488.50, 3083.75
Panzy, Warrior, 0.94, 1878.50, 2000.00
Riddle, Priest, 0.00, 0.00, 2000.00
Hifalutin, Priest, 0.00, 0.00, 2000.00
yungmage, Mage, 0.50, 2210.00, 4443.75
Vaulaut, Paladin, 2.46, 4910.00, 2000.00
Dbcooper, Rogue, 1.01, 7205.00, 7100.00
Thormond, Paladin, 2.46, 4910.00, 2000.00
Highfalutin, Priest, 0.47, 2210.00, 4677.50
JudgmentJudy, Paladin, 0.00, 0.00, 2000.00
Jan, Warrior, 2.70, 5400.00, 2000.00
Joneleth, Mage, 0.00, 0.00, 2000.00
Dummyythicc, Priest, 0.00, 0.00, 2000.00
Lalloo, Druid, 0.80, 1600.00, 2000.00
