Date, Buyer, Name, Raid, Value
08/08/20, Bossmagi, Staff of the Shadow Flame, BWL, 8000.00
08/08/20, Noblewarlord, Interlaced Shadow Jerkin, BWL, 0.00
08/08/20, Caitylinn, Felheart Gloves, MC , 500.00
08/08/20, Arghkettnaad, Choker of Enlightenment, MC , 125.00
08/08/20, Chelmari, Mana Igniting Cord, MC , 2000.00
08/08/20, Britney, Nightslayer Pants, MC , 625.00
08/08/20, disenchanted, Giantstalker's Leggings, MC , 625.00
08/08/20, Mariahcarry, Ring of Spell Power, MC , 1000.00
08/08/20, disenchanted, Gloves of Prophecy, MC , 500.00
08/08/20, Moltar, Aged Core Leather Gloves, MC , 1500.00
08/08/20, disenchanted, Felheart Horns, MC , 625.00
08/08/20, disenchanted, Giantstalker's Helmet, MC , 625.00
08/08/20, disenchanted, Seal of the Archmagus, MC , 125.00
08/08/20, disenchanted, Cenarion Spaulders, MC , 500.00
08/08/20, disenchanted, Giantstalker's Gloves, MC , 500.00
08/08/20, disenchanted, Felheart Slippers, MC , 500.00
08/08/20, disenchanted, Mantle of Prophecy, MC , 500.00
08/08/20, disenchanted, Pauldrons of Might, MC , 500.00
08/08/20, bank, Giantstalker's Belt, MC , 500.00
08/08/20, disenchanted, Cenarion Vestments, MC , 625.00
08/08/20, disenchanted, Fire Runed Grimoire, MC , 250.00
08/08/20, bank, Sulfuron Ingot, MC , 0.00
08/08/20, disenchanted, Arcanist Robes, MC , 625.00
08/08/20, disenchanted, Ancient Petrified Leaf, MC , 500.00
08/08/20, Hamerhand, Band of Accuria, MC , 3000.00
08/08/20, Chelmari, Netherwind Pants, MC , 1875.00
08/08/20, Mariahcarry, Netherwind Pants, MC , 1875.00
08/08/20, Moltar, Perdition's Blade, MC , 6000.00
08/13/20, Dreadpirate, Judgement Bindings, BWL, 250.00
08/13/20, Maev, Judgement Bindings, BWL, 250.00
08/13/20, disenchanted, Arcane Infused Gem, BWL, 375.00
08/13/20, Manazu, Waistband of Wrath, BWL, 1000.00
08/13/20, Wetspells, Mind Quickening Gem, BWL, 3000.00
08/13/20, Josie, Belt of Transcendence, BWL, 1000.00
08/13/20, Utu, Bracers of Arcane Accuracy, BWL, 2000.00
08/13/20, Joeyson, Dragonstalker's Greaves, BWL, 1000.00
08/13/20, disenchanted, Sabatons of Wrath, BWL, 1000.00
08/13/20, bank, Head of the Broodlord Lashlayer, BWL, 0.00
08/13/20, bank, Elementium Ore, BWL, 0.00
08/13/20, Sokka, Drake Talon Pauldrons, BWL, 2000.00
08/13/20, Jaklar, Cloak of Firemaw, BWL, 1500.00
08/13/20, bank, Elementium Ore, BWL, 0.00
08/13/20, bank, Elementium Ore, BWL, 0.00
08/13/20, bank, Elementium Ore, BWL, 0.00
08/13/20, Dreadpirate, Draconic Avenger, BWL, 125.00
08/13/20, Joeyson, Doom's Edge, BWL, 1000.00
08/13/20, bank, Elementium Ore, BWL, 0.00
08/13/20, disenchanted, Dragonstalker's Gauntlets, BWL, 1000.00
08/13/20, disenchanted, Ebony Flame Gloves, BWL, 2000.00
08/13/20, Mandalynn, Bloodfang Gloves, BWL, 1000.00
08/13/20, Dreadpirate, Herald of Woe, BWL, 125.00
08/13/20, Manazu, Elementium Threaded Cloak, BWL, 1500.00
08/13/20, Ceneda, Bloodfang Spaulders, BWL, 1000.00
08/13/20, Hooked, Empowered Leggings, BWL, 5000.00
08/13/20, disenchanted, Nemesis Spaulders, BWL, 1000.00
08/13/20, Maev, Pure Elementium Band, BWL, 4000.00
08/13/20, Pathefinder, Head of Nefarian, BWL, 1875.00
08/13/20, Noblewarlord, Prestor's Talisman of Connivery, BWL, 4000.00
08/13/20, Florbydorbis, Bloodfang Chestpiece, BWL, 2500.00
08/13/20, Pathefinder, Stormrage Chestguard, BWL, 625.00
08/13/20, disenchanted, Felheart Gloves, MC , 500.00
08/13/20, disenchanted, Arcanist Boots, MC , 500.00
08/13/20, disenchanted, Giantstalker's Leggings, MC , 625.00
08/13/20, Magicjay, Earthshaker, MC , 62.50
08/13/20, Ceneda, Nightslayer Pants, MC , 625.00
08/13/20, unassigned, Nightslayer Gloves, MC , 500.00
08/13/20, Ryzeup, Sorcerous Dagger, MC , 62.50
08/13/20, Cuckinducks, Quick Strike Ring, MC , 3000.00
08/13/20, disenchanted, Giantstalker's Helmet, MC , 625.00
08/13/20, disenchanted, Circlet of Prophecy, MC , 625.00
08/13/20, Magicjay, Lawbringer Bracers, MC , 500.00
08/13/20, disenchanted, Arcanist Mantle, MC , 500.00
08/13/20, Dreadpirate, Lawbringer Spaulders, MC , 500.00
08/13/20, disenchanted, Arcanist Gloves, MC , 500.00
08/13/20, Ceneda, Nightslayer Boots, MC , 500.00
08/13/20, disenchanted, Belt of Might, MC , 500.00
08/13/20, disenchanted, Pauldrons of Might, MC , 500.00
08/13/20, disenchanted, Shadowstrike, MC , 10000.00
08/13/20, disenchanted, Cenarion Vestments, MC , 625.00
08/13/20, disenchanted, Felheart Robes, MC , 625.00
08/13/20, bank, Sulfuron Ingot, MC , 0.00
08/13/20, disenchanted, Blastershot Launcher, MC , 2000.00
08/13/20, Dreadpirate, Wristguards of True Flight, MC , 250.00
08/13/20, Dontqqme, Core Hound Tooth, MC , 3000.00
08/13/20, Manithree, The Eye of Divinity, MC , 500.00
08/13/20, Sokka, Essence of the Firelord, MC , 0.00
08/13/20, disenchanted, Malistar's Defender, MC , 750.00
08/13/20, Dontqqme, Perdition's Blade, MC , 6000.00
08/13/20, Quack, Leggings of Transcendence, MC , 1875.00
08/13/20, disenchanted, Nemesis Leggings, MC , 1875.00
08/15/20, disenchanted, Stormrage Bracers, BWL, 1000.00
08/15/20, Kantmiss, Arcane Infused Gem, BWL, 375.00
08/15/20, disenchanted, Judgement Bindings, BWL, 1000.00
08/15/20, disenchanted, Rune of Metamorphosis, BWL, 375.00
08/15/20, Highfalutin, Belt of Transcendence, BWL, 1000.00
08/15/20, Smexyropman, Waistband of Wrath, BWL, 275.00
08/15/20, Highfalutin, Boots of Transcendence, BWL, 1000.00
08/15/20, disenchanted, Bracers of Arcane Accuracy, BWL, 2000.00
08/15/20, Kantmiss, Dragonstalker's Greaves, BWL, 1000.00
08/15/20, Excellent, Head of the Broodlord Lashlayer, BWL, 0.00
08/15/20, bank, Elementium Ore, BWL, 0.00
08/15/20, Zappem, Rejuvenating Gem, BWL, 9000.00
08/15/20, disenchanted, Claw of the Black Drake, BWL, 2000.00
08/15/20, Corcho, Essence Gatherer, BWL, 2000.00
08/15/20, Highfalutin, Band of Dark Dominion, BWL, 275.00
08/15/20, bank, Elementium Ore, BWL, 0.00
08/15/20, bank, Elementium Ore, BWL, 0.00
08/15/20, bank, Elementium Ore, BWL, 0.00
08/15/20, bank, Elementium Ore, BWL, 0.00
08/15/20, Highfalutin, Aegis of Preservation, BWL, 375.00
08/15/20, Puzzle, Netherwind Gloves, BWL, 1000.00
08/15/20, Kantmiss, Dragonstalker's Gauntlets, BWL, 1000.00
08/15/20, disenchanted, Styleen's Impeding Scarab, BWL, 4500.00
08/15/20, Slappybagz, Bloodfang Spaulders, BWL, 1000.00
08/15/20, Smexyropman, Pauldrons of Wrath, BWL, 275.00
08/15/20, disenchanted, Taut Dragonhide Gloves, BWL, 0.00
08/15/20, disenchanted, Taut Dragonhide Shoulderpads, BWL, 2000.00
08/15/20, Catstevens, Robes of Transcendence, BWL, 2500.00
08/15/20, disenchanted, Stormrage Chestguard, BWL, 625.00
08/15/20, disenchanted, Head of Nefarian, BWL, 1875.00
08/15/20, Hokei, Archimtiros' Ring of Reckoning, BWL, 375.00
08/15/20, disenchanted, Therazane's Link, BWL, 250.00
08/15/20, disenchanted, Lawbringer Boots, MC , 500.00
08/15/20, Smexyropman, Gauntlets of Might, MC , 125.00
08/15/20, disenchanted, Cenarion Leggings, MC , 625.00
08/15/20, disenchanted, Eskhandar's Right Claw, MC , 1000.00
08/15/20, disenchanted, Nightslayer Pants, MC , 625.00
08/15/20, Highfalutin, Gloves of Prophecy, MC , 500.00
08/15/20, disenchanted, Giantstalker's Boots, MC , 500.00
08/15/20, Smexyropman, Drillborer Disk, MC , 562.50
08/15/20, Stonemove, Talisman of Ephemeral Power, MC , 3000.00
08/15/20, disenchanted, Gutgore Ripper, MC , 1500.00
08/15/20, Mariahcarry, Seal of the Archmagus, MC , 125.00
08/15/20, disenchanted, Cenarion Spaulders, MC , 500.00
08/15/20, disenchanted, Cenarion Gloves, MC , 500.00
08/15/20, disenchanted, Shadowstrike, MC , 10000.00
08/15/20, Hokei, Wristguards of Stability, MC , 250.00
08/15/20, disenchanted, Nightslayer Chestpiece, MC , 625.00
08/15/20, disenchanted, Breastplate of Might, MC , 625.00
08/15/20, yungmage, Staff of Dominance, MC , 1000.00
08/15/20, disenchanted, Wristguards of True Flight, MC , 1000.00
08/15/20, disenchanted, Gloves of the Hypnotic Flame, MC , 500.00
